filename,gpu_id,width,height,total_ms,kernel_ms,h2d_ms,d2h_ms,io_ms
cat_1000x600 (Copy 321).jpg,0,1000,600,171.222,0.203776,0.260992,0.428128,152.448
cat_1000x600 (Copy 288).jpg,1,1000,600,185.482,0.195584,0.105696,0.373312,166.86
cat_1000x600 (Copy 111).jpg,0,1000,600,173.498,0.201728,0.269952,0.425536,154.371
cat_1000x600 (Copy 13).jpg,1,1000,600,221.389,0.19456,0.124,0.367904,202.676
cat_1000x600 (Copy 1950).jpg,0,1000,600,157.901,0.203776,0.250688,0.41584,138.9
cat_1000x600 (Copy 1666).jpg,1,1000,600,173.463,0.192256,0.123872,0.364096,154.67
cat_1000x600 (Copy 1597).jpg,0,1000,600,128.549,0.202752,0.242624,0.415904,109.623
cat_1000x600 (Copy 1214).jpg,1,1000,600,183.473,0.192512,0.13312,0.367392,164.831
cat_1000x600 (Copy 1763).jpg,1,1000,600,137.527,0.192288,0.124096,0.36336,118.682
cat_1000x600 (Copy 1421).jpg,0,1000,600,153.862,0.2048,0.26096,0.430112,134.908
cat_1000x600 (Copy 1558).jpg,1,1000,600,122.545,0.189536,0.13312,0.37696,103.834
cat_1000x600 (Copy 1807).jpg,0,1000,600,135.924,0.197632,0.242624,0.404256,117.076
cat_1000x600 (Copy 1846).jpg,0,1000,600,124.212,0.202752,0.197216,0.532288,105.033
cat_1000x600 (Copy 1205).jpg,1,1000,600,160.132,0.198656,0.115392,0.490752,141.107
cat_1000x600 (Copy 1436).jpg,0,1000,600,181.935,0.195584,0.242624,0.40816,162.981
cat_1000x600 (Copy 1535).jpg,1,1000,600,254.743,0.195584,0.14096,0.374528,236.12
cat_1000x600 (Copy 1845).jpg,0,1000,600,145.344,0.20992,0.251712,0.406048,126.414
cat_1000x600 (Copy 320).jpg,1,1000,600,145.793,0.19872,0.142304,0.488,126.708
cat_1000x600 (Copy 1450).jpg,0,1000,600,139.129,0.205824,0.270176,0.566144,119.812
cat_1000x600 (Copy 1837).jpg,1,1000,600,161.467,0.198464,0.151968,0.597696,142.352
cat_1000x600 (Copy 293).jpg,1,1000,600,135.931,0.195584,0.115552,0.406848,117.201
cat_1000x600 (Copy 436).jpg,0,1000,600,156.173,0.204672,0.251712,0.399584,137.386
