filename,gpu_id,width,height,total_ms,kernel_ms,h2d_ms,d2h_ms,io_ms
cat_1000x600 (Copy 4406).jpg,0,1000,600,678.131,0.074752,0.206304,0.560448,658.658
cat_1000x600 (Copy 4114).jpg,0,1000,600,122.173,0.074752,0.2416,0.539776,102.937
cat_1000x600 (Copy 1348).jpg,0,1000,600,316.659,0.074496,0.19712,0.5432,297.241
cat_1000x600 (Copy 2803).jpg,0,1000,600,664.65,0.088864,0.206432,0.56464,627.922
cat_1000x600 (Copy 534).jpg,0,1000,600,153.18,0.073856,0.250688,0.545792,133.874
cat_1000x600 (Copy 942).jpg,0,1000,600,211.279,0.073728,0.206272,0.566144,191.884
cat_1000x600 (Copy 3709).jpg,0,1000,600,257.097,0.072704,0.189984,0.418848,237.71
cat_1000x600 (Copy 2035).jpg,0,1000,600,693.476,0.074752,0.206528,0.565088,655.334
cat_1000x600 (Copy 4070).jpg,0,1000,600,326.69,0.074816,0.205248,0.532288,307.561
cat_1000x600 (Copy 2819).jpg,0,1000,600,1091.56,0.074752,0.206304,0.553376,1037.21
cat_1000x600 (Copy 4016).jpg,0,1000,600,133.346,0.073728,0.206336,0.561088,114.193
cat_1000x600 (Copy 4906).jpg,0,1000,600,603.755,0.071488,0.489824,0.432576,538.07
cat_1000x600 (Copy 1004).jpg,0,1000,600,1036.92,0.073728,0.269152,0.559296,1017.74
cat_1000x600 (Copy 4058).jpg,0,1000,600,1879.14,0.074752,0.206912,0.549408,1815.29
cat_1000x600 (Copy 2).jpg,0,1000,600,1473.68,0.074752,0.207232,0.56048,1417.88
cat_1000x600 (Copy 1895).jpg,0,1000,600,1161.6,0.07376,0.251808,0.548992,1089.1
cat_1000x600 (Copy 927).jpg,0,1000,600,1723.35,0.075776,0.20704,0.560672,1633.23
cat_1000x600 (Copy 2868).jpg,0,1000,600,1364.58,0.072704,0.216448,0.564352,1299.43
cat_1000x600 (Copy 3162).jpg,0,1000,600,1018.54,0.074752,0.19776,0.561824,963.608
cat_1000x600 (Copy 3701).jpg,0,1000,600,1532.25,0.073728,0.24272,0.408736,1513.26
